USE_YM,RTE_NO,RTE_NM,STOPS_ID,STOPS_ARS_NO,SBWY_STNS_NM,HR_0_GET_ON_TNOPE,HR_0_GET_OFF_TNOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_TNOPE,HR_2_GET_OFF_TNOPE,HR_3_GET_ON_TNOPE,HR_3_GET_OFF_TNOPE,HR_4_GET_ON_TNOPE,HR_4_GET_OFF_TNOPE,HR_5_GET_ON_TNOPE,HR_5_GET_OFF_TNOPE,HR_6_GET_ON_TNOPE,HR_6_GET_OFF_TNOPE,HR_7_GET_ON_TNOPE,HR_7_GET_OFF_TNOPE,HR_8_GET_ON_TNOPE,HR_8_GET_OFF_TNOPE,HR_9_GET_ON_TNOPE,HR_9_GET_OFF_TNOPE,HR_10_GET_ON_TNOPE,HR_10_GET_OFF_TNOPE,HR_11_GET_ON_TNOPE,HR_11_GET_OFF_TNOPE,HR_12_GET_ON_TNOPE,HR_12_GET_OFF_TNOPE,HR_13_GET_ON_TNOPE,HR_13_GET_OFF_TNOPE,HR_14_GET_ON_TNOPE,HR_14_GET_OFF_TNOPE,HR_15_GET_ON_TNOPE,HR_15_GET_OFF_TNOPE,HR_16_GET_ON_TNOPE,HR_16_GET_OFF_TNOPE,HR_17_GET_ON_TNOPE,HR_17_GET_OFF_TNOPE,HR_18_GET_ON_TNOPE,HR_18_GET_OFF_TNOPE,HR_19_GET_ON_TNOPE,HR_19_GET_OFF_TNOPE,HR_20_GET_ON_TNOPE,HR_20_GET_OFF_TNOPE,HR_21_GET_ON_TNOPE,HR_21_GET_OFF_TNOPE,HR_22_GET_ON_TNOPE,HR_22_GET_OFF_TNOPE,HR_23_GET_ON_TNOPE,HR_23_GET_OFF_TNOPE,TRFC_MNS_TYPE_CD,TRFC_MNS_TYPE_NM,REG_YMD
202501,100,100번(하계동~용산구청),110000325,11426,하계역(00012),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,46.0,258.0,77.0,377.0,224.0,374.0,557.0,545.0,623.0,541.0,314.0,610.0,308.0,696.0,276.0,853.0,397.0,818.0,378.0,800.0,411.0,836.0,341.0,901.0,354.0,825.0,322.0,909.0,352.0,639.0,142.0,597.0,143.0,493.0,131.0,490.0,125.0,1.0,1.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000274,11375,중계건영2차아파트(00119),3.0,49.0,2.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,87.0,12.0,128.0,7.0,103.0,15.0,117.0,12.0,145.0,9.0,106.0,22.0,137.0,12.0,135.0,13.0,110.0,16.0,156.0,11.0,154.0,11.0,188.0,13.0,109.0,10.0,115.0,9.0,115.0,8.0,106.0,4.0,38.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000265,11366,중계역(00120),6.0,29.0,4.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,20.0,32.0,13.0,32.0,23.0,53.0,13.0,44.0,13.0,56.0,21.0,51.0,9.0,35.0,8.0,67.0,13.0,67.0,15.0,101.0,22.0,84.0,21.0,52.0,13.0,59.0,11.0,51.0,12.0,63.0,8.0,37.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000343,11444,하계한신청구아파트(00121),0.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,17.0,0.0,19.0,0.0,18.0,0.0,27.0,0.0,24.0,0.0,26.0,0.0,21.0,0.0,29.0,0.0,25.0,0.0,28.0,0.0,29.0,0.0,31.0,0.0,22.0,0.0,21.0,0.0,12.0,0.0,7.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000387,11489,한성여객종점(00122),0.0,8.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,3.0,0.0,17.0,0.0,13.0,0.0,14.0,0.0,27.0,0.0,18.0,0.0,17.0,0.0,14.0,1.0,10.0,0.0,25.0,0.0,15.0,0.0,13.0,0.0,8.0,0.0,9.0,0.0,12.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000353,11454,하계우성아파트(00013),2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,1.0,433.0,1.0,537.0,22.0,676.0,22.0,960.0,47.0,745.0,34.0,648.0,54.0,587.0,57.0,723.0,99.0,739.0,71.0,780.0,114.0,750.0,102.0,903.0,100.0,816.0,96.0,1129.0,106.0,945.0,76.0,879.0,55.0,742.0,52.0,617.0,98.0,11.0,0.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000351,11452,하계극동아파트(00014),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,33.0,240.0,15.0,257.0,33.0,334.0,50.0,331.0,108.0,383.0,90.0,354.0,96.0,296.0,110.0,302.0,133.0,308.0,87.0,269.0,104.0,191.0,102.0,225.0,118.0,189.0,108.0,179.0,137.0,117.0,113.0,82.0,122.0,78.0,82.0,57.0,91.0,2.0,0.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000238,11339,월계보건지소(00015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,65.0,145.0,42.0,164.0,29.0,247.0,108.0,420.0,223.0,319.0,165.0,359.0,175.0,302.0,185.0,354.0,261.0,417.0,188.0,365.0,209.0,371.0,196.0,374.0,228.0,389.0,181.0,331.0,212.0,251.0,172.0,227.0,171.0,258.0,104.0,234.0,98.0,4.0,0.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000211,11311,인덕대학교(00016),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,62.0,262.0,118.0,242.0,112.0,275.0,229.0,390.0,497.0,348.0,299.0,326.0,299.0,291.0,304.0,398.0,386.0,310.0,280.0,352.0,381.0,311.0,336.0,414.0,434.0,265.0,450.0,293.0,506.0,167.0,470.0,125.0,346.0,121.0,327.0,96.0,289.0,1.0,3.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000210,11310,월계주공108동앞롯데캐슬루나아파트(00017),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,77.0,424.0,57.0,364.0,59.0,530.0,72.0,716.0,297.0,578.0,207.0,582.0,191.0,498.0,179.0,522.0,241.0,429.0,224.0,481.0,259.0,393.0,284.0,347.0,359.0,346.0,362.0,223.0,435.0,192.0,378.0,158.0,255.0,126.0,272.0,73.0,317.0,0.0,10.0,010,서울간선버스,20250203
