rankeddata.stops_nm,rankeddata.adstrd_nm,rankeddata.xcrd,rankeddata.ycrd,rankeddata.total_living_pop,rankeddata.distance_km,rankeddata.daily_total_on,rankeddata.p_norm,rankeddata.b_norm,rankeddata.d_norm,robust_score
산복터널.관악산휴먼시아2단지,이촌1동,126.9225758449,37.4590812203,25226,1.75,181051,0.8363499245852187,0.6425339366515838,0.8438914027149321,0.7610859728506787
농생대,이촌1동,126.9493877458,37.4571128404,25226,1.38,349372,0.8363499245852187,0.8076923076923077,0.6161387631975868,0.7588235294117647
벽산아파트5단지,이촌1동,126.918687341,37.4463472934,25226,1.91,150396,0.8363499245852187,0.5957767722473605,0.8929110105580694,0.7570889894419306
구기터널.삼성출판박물관,평창동,126.9564166508,37.6083054034,19853,1.99,204388,0.7111613876319759,0.6734539969834088,0.9102564102564102,0.7558069381598793
장안동삼성쉐르빌아파트,사근동,127.070843,37.571238,23411,1.22,856870,0.8295625942684767,0.9766214177978884,0.3793363499245852,0.7533182503770739
삼성산주공아파트,이촌1동,126.9250910137,37.4611062672,25226,1.44,265778,0.8363499245852187,0.7405731523378583,0.6855203619909502,0.752790346907994
번동주공3단지,혜화동,127.0434628856,37.6290195783,28841,1.43,228953,0.8868778280542986,0.7036199095022625,0.6779788838612368,0.7509049773755656
전곡시장앞,마장동,127.06779506,37.5772370675,19412,1.63,306627,0.6621417797888386,0.7843137254901961,0.7888386123680241,0.7490196078431373
산장아파트,이촌1동,126.927725,37.459955,25226,1.44,251444,0.8363499245852187,0.7307692307692307,0.6855203619909502,0.748868778280543
송동마을.서초힐스아파트,서빙고동,127.0179066267,37.459029969,12377,1.6,495956,0.5437405731523378,0.8823529411764706,0.77526395173454,0.7486425339366516
국민은행세검정지점,부암동,126.9611926889,37.6048461618,11425,2.28,334407,0.4856711915535445,0.7986425339366516,0.944947209653092,0.7486425339366516
푸르지오621동앞,평창동,126.930478843,37.6484353114,19853,1.45,359318,0.7111613876319759,0.8152337858220211,0.6930618401206636,0.7473604826546003
노원우체국,마장동,127.0817180202,37.6460324291,19412,1.54,360108,0.6621417797888386,0.8167420814479638,0.7398190045248869,0.7472850678733032
노원우체국,마장동,127.0819108069,37.6461584467,19412,1.56,345813,0.6621417797888386,0.8054298642533937,0.753393665158371,0.7468325791855204
자하문터널입구.석파정,부암동,126.9639775924,37.5955575712,11425,1.9,389806,0.4856711915535445,0.8355957767722474,0.8891402714932126,0.7466817496229261
이북오도청,평창동,126.9559729686,37.6127234824,19853,2.12,174916,0.7111613876319759,0.6372549019607843,0.9268476621417798,0.7463046757164404
국민대앞,평창동,126.9940273315,37.6106795513,19853,1.26,1451392,0.7111613876319759,0.995475113122172,0.444947209653092,0.7450226244343892
초안교,혜화동,127.04109,37.63111,28841,1.42,222341,0.8868778280542986,0.696078431372549,0.6666666666666666,0.7444947209653092
노원문화예술회관.불암초등학교,마장동,127.0809177871,37.6500481925,19412,1.36,581252,0.6621417797888386,0.9193061840120663,0.5927601809954751,0.7441930618401207
자하문터널입구.석파정,부암동,126.9636434993,37.5955935123,11425,1.89,374787,0.4856711915535445,0.8273001508295625,0.8876319758672699,0.7429110105580694
서울과학수사연구소.고강동종점,원효로2동,126.8257794501,37.5234552209,16013,1.84,289972,0.5761689291101055,0.7662141779788839,0.8725490196078431,0.7411010558069382
하림각,부암동,126.962215308,37.5981476478,11425,1.91,365108,0.4856711915535445,0.8182503770739065,0.8929110105580694,0.7408748114630468
전곡시장앞,마장동,127.0681419969,37.5773293235,19412,1.64,281934,0.6621417797888386,0.7564102564102564,0.7986425339366516,0.7407993966817497
하림각,부암동,126.9617068235,37.5981330665,11425,1.87,372831,0.4856711915535445,0.8242835595776772,0.8838612368024132,0.7405731523378583
북한산성입구교차로,평창동,126.9453651665,37.6580874009,19853,2.98,137453,0.7111613876319759,0.5663650075414781,0.9886877828054299,0.736500754147813
공동기기원,이촌1동,126.9544665701,37.4551189492,25226,1.76,143003,0.8363499245852187,0.5769230769230769,0.8484162895927602,0.7361990950226244
산장아파트,이촌1동,126.9275003475,37.4597961436,25226,1.47,213276,0.8363499245852187,0.6809954751131222,0.7088989441930619,0.7359728506787331
방학동신동아타워,평창동,127.028111025,37.6616802914,19853,1.36,429533,0.7111613876319759,0.861236802413273,0.5927601809954751,0.7356711915535445
제각말5단지.은평뉴타운도서관,평창동,126.93551,37.638398,19853,1.48,291754,0.7111613876319759,0.7684766214177979,0.7164404223227753,0.7356711915535445
국민은행장안동지점,사근동,127.0734972565,37.5723759111,23411,1.17,963755,0.8295625942684767,0.9811463046757164,0.31447963800904977,0.7356711915535444
