STDR_DE_ID,TMZON_PD_SE,ADSTRD_CODE_SE,TOT_LVPOP_CO,MALE_F0T9_LVPOP_CO,MALE_F10T14_LVPOP_CO,MALE_F15T19_LVPOP_CO,MALE_F20T24_LVPOP_CO,MALE_F25T29_LVPOP_CO,MALE_F30T34_LVPOP_CO,MALE_F35T39_LVPOP_CO,MALE_F40T44_LVPOP_CO,MALE_F45T49_LVPOP_CO,MALE_F50T54_LVPOP_CO,MALE_F55T59_LVPOP_CO,MALE_F60T64_LVPOP_CO,MALE_F65T69_LVPOP_CO,MALE_F70T74_LVPOP_CO,FEMALE_F0T9_LVPOP_CO,FEMALE_F10T14_LVPOP_CO,FEMALE_F15T19_LVPOP_CO,FEMALE_F20T24_LVPOP_CO,FEMALE_F25T29_LVPOP_CO,FEMALE_F30T34_LVPOP_CO,FEMALE_F35T39_LVPOP_CO,FEMALE_F40T44_LVPOP_CO,FEMALE_F45T49_LVPOP_CO,FEMALE_F50T54_LVPOP_CO,FEMALE_F55T59_LVPOP_CO,FEMALE_F60T64_LVPOP_CO,FEMALE_F65T69_LVPOP_CO,FEMALE_F70T74_LVPOP_CO
20250918,00,11170700,7470.202,171.9971,116.8189,252.8106,236.388,231.469,275.7124,358.8242,311.417,376.7552,303.6475,329.175,270.7564,169.7541,304.1766,118.1464,75.396,174.9499,186.4881,230.2719,246.1325,304.8655,341.9488,423.2811,312.0502,280.0238,299.5671,214.0931,553.2859
20250918,00,11200520,17542.4946,529.7608,257.9304,347.7573,406.3945,584.0824,726.9047,949.9171,750.4081,584.345,591.1058,591.7652,470.0893,299.9789,636.8264,563.6489,276.8644,390.9936,703.5538,860.97,991.65,1008.1999,884.8256,708.493,647.7368,632.1484,598.8676,370.8661,1176.4115
20250918,00,11200535,31586.16,1583.3033,458.2272,451.1348,765.7133,1156.2663,1234.5477,1546.1296,1404.9727,1268.9396,1034.4653,1007.2513,813.437,513.7402,1044.3543,1511.8371,438.6419,525.4993,1372.9142,1867.8665,1468.7629,1680.7481,1588.3593,1212.8469,1141.9408,1167.7045,837.5981,686.7408,1802.2168
20250918,00,11200540,19412.9513,470.3282,255.9945,545.924,767.6632,828.39,717.3258,811.5024,729.0771,724.7597,735.2276,786.8884,595.8342,370.1037,752.3029,476.0167,264.67,402.0045,1116.6801,946.4773,785.3418,885.9357,720.4694,723.1708,704.3929,790.751,634.2301,511.7466,1359.7434
20250918,00,11200550,23411.7515,268.1375,122.2393,871.2544,3438.9549,2274.4252,859.8296,708.1786,509.9816,541.8308,503.0257,466.3704,359.3339,236.3495,596.5754,371.7241,177.781,1014.7115,3743.2016,1639.1421,733.6175,529.8705,450.4017,404.0123,500.4314,499.0769,386.8643,350.9872,853.4421
20250918,00,11200560,27359.341,870.4161,500.2852,700.7431,1258.9224,1085.5605,1014.4262,1266.5785,1320.5535,1196.9101,879.776,901.6353,674.6024,418.0183,697.3445,949.9586,546.3364,1000.0906,1893.2507,1341.0756,1101.0947,1308.6032,1204.0584,1052.3858,969.2367,945.3637,703.1702,483.1778,1075.7644
20250918,00,11200570,21082.8294,852.4876,431.1523,414.5425,441.6611,534.3711,604.5735,922.9125,924.6825,962.3815,784.4123,673.8267,530.9306,398.2233,783.1327,905.1529,503.8675,521.7583,590.6517,642.4429,841.1559,1155.5667,1079.7573,1170.1189,884.8469,796.228,634.0215,510.4432,1587.5284
20250918,00,11200580,12992.5257,453.8612,278.3843,331.4703,232.7747,229.1305,328.3755,517.9218,599.7973,548.8995,579.9532,527.4493,361.4021,213.8035,604.8743,572.8841,354.8239,446.6384,319.345,295.0125,460.5729,664.8502,690.9354,701.2068,581.8374,554.5301,386.3419,351.278,804.1721
20250918,00,11200590,14195.7223,576.618,318.2551,344.0108,234.9025,257.0723,396.4478,714.376,627.2303,674.6179,491.1866,458.5894,372.0097,282.3709,587.2334,837.9355,383.9828,220.6514,275.9642,347.8391,548.147,826.3216,895.2629,734.3047,521.1173,506.7783,459.6629,410.1218,892.712
20250918,00,11200615,22247.4464,1080.243,349.8398,418.7405,406.0175,594.2421,729.628,1150.7918,1093.6563,1036.9682,807.7753,815.6096,532.492,411.7869,903.0604,767.2049,292.1584,406.9662,596.0028,679.7406,927.2109,1313.9445,1142.8273,1080.3113,904.9307,900.1714,725.4492,551.4322,1628.2441
20250918,23,11710720,10769.1589,305.7548,170.5622,246.6067,255.0251,332.1375,283.3404,363.9487,382.8381,427.4495,489.0061,428.4977,286.0391,177.5695,615.4769,310.004,263.734,302.9892,323.7577,441.1896,453.0357,381.5037,519.4483,553.8217,479.1973,480.5853,286.7239,240.6755,968.2403
20250918,23,11740515,53256.666,2922.4361,1793.588,1871.4551,1101.1482,1080.3053,1177.961,2138.1332,2312.7747,2434.9594,1912.4142,1599.5398,1231.9665,864.8915,2291.1874,2927.6941,1642.2533,1736.1823,1200.9886,1255.2574,1517.4744,2715.8776,2503.6878,2712.8569,1963.8458,1743.2561,1572.6764,1330.8823,3700.9729
20250918,23,11740520,45359.6598,1823.8457,1860.6112,1700.8104,823.8193,760.2343,992.7534,1698.1275,2238.7333,2316.9782,1586.1528,1306.5424,1124.3839,831.2323,1806.5276,1454.0459,1749.5228,1606.7764,953.2179,992.2571,1231.4516,2312.412,2637.6599,2629.167,1557.0492,1571.4757,1568.7498,1205.9887,3019.1335
20250918,23,11740530,26036.3935,1080.6445,825.0638,1048.8466,500.8264,547.4907,605.5093,954.786,1091.8498,1116.2744,918.6146,802.329,677.3924,506.5796,1323.3174,866.8257,578.2307,794.6521,612.5612,650.7918,843.2904,1083.09,1364.451,1344.1766,989.9916,995.1223,881.2874,857.79,2174.6083
20250918,23,11740540,13855.4154,559.3669,580.491,855.5953,310.4346,304.362,264.1192,384.0111,442.7903,558.9832,521.7461,472.1813,376.026,303.8259,643.1122,498.6661,497.82,620.8567,412.1759,292.3912,254.5415,379.5978,642.1339,865.591,582.6145,499.6185,433.8746,379.2101,919.2768
20250918,23,11740550,27033.3396,2832.8128,1463.7967,1497.8209,326.0672,411.786,394.2483,592.6488,1039.8288,1545.3676,984.7919,687.7292,533.0904,388.9289,780.8887,2492.5878,1093.2164,840.3603,452.8701,456.9996,420.4046,936.1578,1498.8785,1497.8769,761.4025,623.1285,662.9153,528.0641,1288.6716
20250918,23,11740560,22238.7363,1140.814,846.2071,724.7407,344.4268,445.9021,469.949,928.8833,1056.536,1250.4641,822.0158,608.9535,608.7503,418.6014,862.1768,1033.4731,754.4976,647.6804,465.793,494.7923,589.4576,1223.3221,1186.1989,1258.9295,749.7307,707.782,626.9586,509.4495,1462.2502
20250918,23,11740570,30634.5711,1182.3276,614.8765,768.6058,709.7901,956.6509,993.4269,1298.7711,1228.4971,1401.8511,1141.8529,1199.3328,896.4011,643.8959,1361.1826,1110.1364,582.8219,625.6265,684.025,1100.6622,968.4262,1494.606,1172.4327,1436.1059,1295.8616,1392.6124,1116.6684,849.2953,2407.8264
20250918,23,11740580,15144.7525,643.6977,232.2526,287.5472,332.4883,480.9327,577.4211,785.9323,651.6857,630.9077,553.9907,590.3009,400.7331,327.6144,541.6145,418.0399,153.7004,287.2253,412.379,558.9404,734.1501,948.973,687.0236,645.6214,660.2751,658.1136,516.2195,417.8392,1009.1321
20250918,23,11740590,15104.6424,1000.3398,467.5509,464.0703,282.8672,284.4456,363.1141,573.9036,570.5302,661.1823,543.0293,497.9005,372.1566,262.8745,565.0266,1012.3149,442.6059,458.4696,348.9853,388.1318,435.6106,720.8739,736.4067,707.1339,506.1164,570.1042,500.0984,333.4213,1035.3786
20250918,23,11740600,32685.4631,1224.1898,593.0291,786.169,707.6456,986.0015,1004.7071,1249.449,1192.607,1479.7493,1235.6228,1149.3487,1030.8979,817.3957,1640.8577,1091.7701,527.8104,770.1346,913.4032,1118.0229,1199.7918,1460.4887,1247.2266,1388.0726,1294.6618,1420.3396,1282.8578,1076.3581,2796.8548
20250918,23,11740610,45107.2561,1569.2017,701.5265,876.4726,905.2916,1649.5428,1892.3454,2173.877,1888.5947,1801.0512,1789.4126,1777.1153,1455.0934,1054.5512,2055.8676,1243.4533,569.6209,800.5629,1143.6271,2009.5894,2157.2258,2183.8963,1592.8065,1816.5782,1752.9445,1854.9454,1703.1111,1313.5455,3375.4075
20250918,23,11740620,29504.4767,903.3622,345.0566,537.7847,754.0872,1348.6517,1439.1252,1444.5116,1064.0463,1134.0789,969.6761,1007.3487,840.4476,613.4926,1257.7819,925.6868,381.2312,467.8584,1004.1088,1853.2492,1489.0354,1516.4434,1112.4064,1134.1907,1055.0625,1104.7289,927.8637,819.2302,2053.9311
20250918,23,11740640,21984.9579,817.5738,422.1958,623.0944,400.1362,638.5112,712.3301,951.4875,794.2886,955.3176,848.3185,791.4856,529.4506,389.1378,990.1765,860.7237,435.7481,541.0262,528.8616,723.567,843.3645,1010.6933,1004.9513,1091.9161,918.5643,918.6724,814.8883,639.1821,1789.2944
20250918,23,11740650,25597.2296,1161.0644,402.7581,461.1022,544.6706,1023.3723,1106.4565,1224.5039,1039.9505,972.8403,940.9689,837.7738,743.599,523.4284,1120.9337,702.6103,306.4474,439.3884,860.5684,1361.7508,1277.4699,1316.7063,922.9967,996.2931,799.205,974.2668,963.016,681.6659,1891.4239
20250918,23,11740660,30525.1483,904.8155,543.8839,982.4002,845.62,1050.9758,1178.6489,1323.0689,1159.0272,1408.0694,1102.8235,1105.7272,864.2248,598.0871,1196.9181,829.6744,422.8653,640.2041,973.3473,1234.3564,1296.8569,1393.138,1223.7765,1526.639,1106.9744,1311.5517,1124.6223,855.2963,2321.555
20250918,23,11740685,63499.4861,1838.9696,889.2634,1189.5866,1368.9087,2105.3019,2421.94,2714.4549,2467.3602,2647.7116,2338.0546,2347.9543,1945.5312,1430.1829,3168.4502,2042.3706,933.4422,1340.4518,1827.9833,2805.2548,2606.7695,2904.5218,2499.4064,2755.5397,2625.1732,2721.3806,2431.6638,1988.5436,5143.3141
20250918,23,11740690,32831.9273,1691.1416,1281.7117,970.7132,509.1975,498.5829,861.1529,1400.7175,1660.3834,1521.5678,935.3131,1068.3206,756.5327,677.0678,1399.7506,1509.1974,945.5233,696.9268,684.4764,722.1735,1101.375,1750.4868,1921.269,1635.9584,1105.9074,1190.1209,1093.6656,858.2449,2384.449
20250918,23,11740700,25712.9478,1210.1296,610.4553,726.1279,532.1099,726.5961,897.5893,1130.5653,944.4438,1058.374,778.7322,846.6734,745.2683,559.4833,1220.1359,1155.1746,618.4155,568.8973,676.0966,867.768,962.5894,1096.5364,1027.029,1091.5989,984.2984,1122.8849,941.916,701.6838,1911.3752
