ADSTRD_CD,ADSTRD_NM,XCNTS_VALUE,YDNTS_VALUE,RELM_AR
11545640,독산4동,191516.0,441087.0,591045.0
11545670,시흥1동,191165.0,439227.0,1524148.0
11545680,시흥2동,192906.0,439058.0,1308882.0
11545690,시흥3동,191681.0,437858.0,1261391.0
11545700,시흥4동,191976.0,440076.0,821709.0
11545710,시흥5동,192245.0,438677.0,1386972.0
11560515,영등포본동,192002.0,446026.0,846370.0
11560535,영등포동,191832.0,446905.0,1372094.0
11560540,여의동,193677.0,447670.0,8437543.0
11560550,당산1동,190876.0,447162.0,745305.0
11560560,당산2동,191371.0,448294.0,1581310.0
11560585,도림동,191208.0,445520.0,585885.0
11560605,문래동,190369.0,446344.0,1786708.0
11560610,양평1동,189986.0,447336.0,974912.0
11560620,양평2동,190331.0,449338.0,2874596.0
11560630,신길1동,192881.0,445887.0,722925.0
11560650,신길3동,191669.0,445201.0,520083.0
11560660,신길4동,192302.0,445311.0,292127.0
11560670,신길5동,191645.0,444615.0,494653.0
11560680,신길6동,192350.0,444399.0,653511.0
11560690,신길7동,192893.0,445171.0,642487.0
11560700,대림1동,191618.0,443807.0,498978.0
11560710,대림2동,191201.0,443357.0,572540.0
11560720,대림3동,190905.0,444509.0,921696.0
11590510,노량진1동,195487.0,445863.0,1613446.0
11590520,노량진2동,194502.0,445722.0,600568.0
11590530,상도1동,195873.0,444326.0,1488648.0
11590540,상도2동,194856.0,444917.0,772865.0
11590550,상도3동,194069.0,444236.0,637199.0
11590560,상도4동,194754.0,444220.0,939562.0
11590605,흑석동,196661.0,445107.0,1708306.0
11590620,사당1동,198011.0,442261.0,635172.0
11590630,사당2동,197774.0,444193.0,2763201.0
11590640,사당3동,197433.0,443256.0,907684.0
11590650,사당4동,197414.0,442345.0,436148.0
11590651,사당5동,196901.0,442929.0,682199.0
11590660,대방동,193638.0,445273.0,1544903.0
11590670,신대방1동,192100.0,443396.0,675281.0
11590680,신대방2동,193075.0,443903.0,977033.0
11620525,보라매동,194043.0,443440.0,750225.0
11620545,청림동,196417.0,443346.0,297155.0
11620565,성현동,195671.0,443345.0,678223.0
11620575,행운동,196511.0,442393.0,718235.0
11620585,낙성대동,196448.0,440919.0,2262818.0
11620595,청룡동,195207.0,442070.0,1195604.0
11620605,은천동,194879.0,443063.0,776212.0
11620615,중앙동,195636.0,442746.0,384728.0
11620625,인헌동,197130.0,441142.0,1089078.0
11620630,남현동,198033.0,440521.0,3281024.0
11620645,서원동,194103.0,442353.0,647532.0
