ADSTRD_CD,ADSTRD_NM,XCNTS_VALUE,YDNTS_VALUE,RELM_AR
11620655,신원동,193509.0,442220.0,544977.0
11620665,서림동,194825.0,441494.0,941252.0
11620685,신사동,192803.0,442934.0,641031.0
11620695,신림동,193559.0,443079.0,541240.0
11620715,난향동,192792.0,440235.0,821397.0
11620725,조원동,191805.0,442602.0,666607.0
11620735,대학동,195445.0,439279.0,8405183.0
11620745,삼성동,193815.0,440161.0,2604386.0
11620765,미성동,192523.0,441836.0,1359429.0
11620775,난곡동,193024.0,441248.0,972373.0
11650510,서초1동,201778.0,443054.0,1382685.0
11500605,가양3동,187729.0,451261.0,474228.0
11500611,발산1동,184559.0,450124.0,2887669.0
11500615,우장산동,185961.0,450133.0,1261588.0
11500620,공항동,181853.0,450719.0,10861768.0
11500630,방화1동,183884.0,452134.0,1475606.0
11500640,방화2동,182690.0,453702.0,6157541.0
11500641,방화3동,183888.0,453634.0,2558908.0
11530510,신도림동,189583.0,445624.0,1392788.0
11530520,구로1동,188981.0,443750.0,1008892.0
11530530,구로2동,189381.0,444164.0,1703350.0
11530540,구로3동,190706.0,442830.0,1040120.0
11530550,구로4동,190299.0,443578.0,524507.0
11530560,구로5동,190145.0,444731.0,1012473.0
11530595,가리봉동,190099.0,442589.0,410996.0
11530720,고척1동,187948.0,444591.0,1151238.0
11530730,고척2동,187044.0,445168.0,1025572.0
11530740,개봉1동,186659.0,444515.0,1320319.0
11530750,개봉2동,187308.0,443689.0,782524.0
11530760,개봉3동,186930.0,443020.0,828418.0
11500530,등촌2동,187630.0,449601.0,910666.0
11500535,등촌3동,186411.0,451308.0,1060362.0
11500540,화곡1동,185940.0,448265.0,1197746.0
11650540,잠원동,201126.0,446400.0,1756867.0
11650550,반포본동,198900.0,444972.0,972536.0
11650560,반포1동,201482.0,445118.0,992368.0
11650570,반포2동,199643.0,445306.0,1396031.0
11650580,반포3동,200352.0,445872.0,1251708.0
11650581,반포4동,200297.0,444454.0,1427141.0
11650590,방배본동,198915.0,443955.0,677510.0
11710562,방이2동,210069.0,445980.0,769841.0
11710566,오륜동,211390.0,446446.0,3085088.0
11710570,오금동,211850.0,444957.0,1648868.0
11710580,송파1동,209758.0,445307.0,686925.0
11680521,논현1동,202343.0,445822.0,1258744.0
11680531,논현2동,203201.0,446196.0,1458524.0
11680545,압구정동,203033.0,447807.0,2345057.0
11680565,청담동,204461.0,447213.0,2329217.0
11680580,삼성1동,205375.0,446204.0,1944629.0
11680590,삼성2동,204312.0,445821.0,1242271.0
11680600,대치1동,205226.0,443769.0,809823.0
11680610,대치2동,205806.0,444616.0,1837367.0
11710520,풍납2동,209561.0,447858.0,2564554.0
11710531,거여1동,212545.0,443931.0,522308.0
11710532,거여2동,213115.0,443640.0,612901.0
11710540,마천1동,213796.0,443996.0,575258.0
11710550,마천2동,213321.0,444574.0,890688.0
11710561,방이1동,210827.0,445605.0,609259.0
11650520,서초2동,202468.0,443265.0,1230924.0
11650530,서초3동,200836.0,442897.0,2998572.0
11650531,서초4동,201752.0,444387.0,879773.0
11680630,대치4동,204842.0,444679.0,701081.0
11680640,역삼1동,203139.0,444598.0,2362133.0
11680650,역삼2동,203970.0,444337.0,1135029.0
11680655,도곡1동,203627.0,443272.0,1050609.0
11680656,도곡2동,204335.0,442895.0,990763.0
11680660,개포1동,205513.0,442040.0,1449952.0
11680670,개포2동,206104.0,442805.0,2243338.0
11680690,개포4동,204724.0,441768.0,1665461.0
11680700,세곡동,209227.0,441253.0,6367772.0
11710590,송파2동,210346.0,444827.0,631023.0
11710600,석촌동,209064.0,444812.0,946914.0
11710632,가락2동,211564.0,444052.0,932311.0
11710641,문정1동,211223.0,443229.0,612546.0
11710642,문정2동,210538.0,442424.0,2242033.0
11710646,장지동,211631.0,442623.0,1278355.0
11710647,위례동,212445.0,442428.0,2537372.0
11710650,잠실본동,207305.0,445172.0,1028997.0
11710670,잠실2동,207014.0,446441.0,2686850.0
11710680,잠실3동,208332.0,446051.0,1542643.0
11710690,잠실4동,209650.0,446807.0,780204.0
11710710,잠실6동,208793.0,446703.0,1508001.0
11710720,잠실7동,206533.0,445319.0,723486.0
11740515,강일동,215398.0,451571.0,3647520.0
11740520,상일동,214565.0,450139.0,1813623.0
11740530,명일1동,212897.0,450102.0,634942.0
11740540,명일2동,213634.0,449869.0,914329.0
11740550,고덕1동,213336.0,451364.0,1518495.0
11740560,고덕2동,214314.0,451728.0,2206786.0
11740570,암사1동,211893.0,450267.0,735480.0
11740580,암사2동,210929.0,450841.0,2174329.0
11740590,암사3동,212249.0,451304.0,1799368.0
11740600,천호1동,212244.0,449655.0,668998.0
11740610,천호2동,210782.0,449505.0,1850853.0
11740620,천호3동,211781.0,448918.0,561872.0
11710610,삼전동,208125.0,444719.0,953338.0
11710620,가락본동,210758.0,444180.0,1014738.0
11710631,가락1동,209575.0,443976.0,1393228.0
11680720,일원본동,207478.0,442544.0,2354625.0
11680730,일원1동,207892.0,443783.0,953471.0
11680740,일원2동,206971.0,444095.0,1300290.0
11680750,수서동,208857.0,443057.0,1629403.0
11710510,풍납1동,210134.0,448776.0,1075294.0
11740690,둔촌1동,212413.0,447073.0,912178.0
11740700,둔촌2동,213015.0,447989.0,1550455.0
11740640,성내1동,211097.0,447696.0,663675.0
11740650,성내2동,211287.0,448330.0,625147.0
11740660,성내3동,211824.0,447659.0,647356.0
11740685,길동,212900.0,448920.0,1631616.0
